X1,X2,Y
13.1470327419,-19.8118230981,yes
10.245927169,7.9537349216,yes
-20.5676950683,8.68464483574,yes
-13.5846563547,21.9403650399,yes
-14.2312187357,8.5766116303,yes
-8.47422847211,5.15621612965,no
-15.6471972804,3.32039056056,yes
1.31699546839,-5.38274816499,no
10.4216324733,23.4527917055,yes
-11.6462129369,-0.872177312658,yes
12.7478093059,0.199130319586,yes
-24.6824190934,21.1659453451,yes
-10.8605753317,-23.2458795858,yes
-22.4777991603,6.69516467704,yes
-10.0283331744,11.093545107,yes
22.1938456843,-20.8159949754,yes
9.4073988965,-15.8014102534,yes
7.46390710223,-21.9407849609,yes
-2.74715520378,-8.47244873016,no
-22.6381465947,6.10417436761,yes
21.9265386985,15.5313758383,yes
12.0928878191,-11.6528367117,yes
3.28969027044,-14.1585453569,yes
22.4261434703,-17.7948487119,yes
10.9944202441,-22.3970970051,yes
-2.35517413116,-24.9719593313,yes
-8.64043051554,-0.792011449372,no
2.91722250578,-12.2721403245,yes
11.7948702231,-11.3924611037,yes
-8.50961598695,18.4104395012,yes
-6.41766882393,-16.5706251693,yes
12.2963077614,-13.5819160584,yes
-20.0858805208,-21.4203382969,yes
24.559638426,-1.96364739735,yes
-1.08933762566,-14.1056248266,yes
8.12850655728,-19.5567185,yes
-10.2609690007,2.07391791405,yes
-15.5053288252,19.9433617795,yes
1.66404808643,12.6856281777,yes
-23.0396185104,-24.1791587557,yes
-19.956628502,13.8490679451,yes
24.9383416696,-1.5118924733,yes
2.97968693217,-2.49860433474,no
22.8851167247,-6.7529907821,yes
-22.9690135413,-12.6701054703,yes
-2.52922727044,-8.29282481583,no
18.4228554024,-2.20783008978,yes
21.0382663405,6.53015578998,yes
7.3801291217,-1.36077283801,no
-13.3788974679,-18.9627640697,yes
-18.8191459584,8.31142157,yes
1.33933129592,-10.2909882202,yes
16.4210845308,6.07221393066,yes
-24.8894306582,4.62448411644,yes
11.7588094809,-9.85890377209,yes
9.67917723612,4.37595409614,yes
-20.5203796226,-23.9724497838,yes
-3.97598846228,-1.57588442847,no
-5.66412129609,-5.15957118596,no
-6.90647562117,7.14833849335,no
0.627774630962,1.24416426895,no
-1.40132717238,-7.89496002465,no
3.25517667519,-2.1732019101,no
-1.56822041359,0.548973129035,no
-2.75451921936,-3.66892411679,no
0.192844080282,5.28058385106,no
-1.73942447082,-2.49247814079,no
-7.47227246335,-5.09869845131,no
-1.62434502357,2.54344737874,no
-9.53754331931,-0.518957765997,no
-6.58460708976,0.49263570814,no
-9.4676088548,2.36139524894,no
-6.11267832331,2.2602139981,no
-6.01390512308,5.6453554055,no
-8.92844213854,-1.80373856661,no
-5.11486936747,1.21194673969,no
-6.28466148498,5.23802833671,no
6.36662829737,-6.49712918167,no
-6.82939503249,-5.58508942155,no
-2.66451452576,-2.59218470216,no
0.201628459816,-8.81260121366,no
-7.22017042192,-2.99311062723,no
-2.70069925196,3.22027051962,no
1.86717574702,7.29727448725,no
0.449463352933,8.41292207957,no
3.49129215976,4.55141496726,no
-7.07467952621,2.99084455696,no
-3.27127182892,-2.69337134604,no
-3.47027962845,3.62524904423,no
2.76049165943,6.21007957325,no
-1.73910738463,-4.70021460134,no
-3.91819678655,-0.758340334207,no
1.90112005994,-3.9694618424,no
6.99249662914,-6.41143087394,no
-6.8000227374,-7.02384335262,no
9.90143538209,-0.314831486479,no
-4.98349411147,8.31816584021,no
-5.06083035113,6.04187380838,no
1.92405932037,-6.33525986267,no
4.2728998914,8.67079427385,no
